ligand_id,SMILES,dG_bind,dG_bind_err
1455,O=C(Nc1cc(NC(=O)C2COC2)ncc1F)c1ccc(Cl)cc1Cl,-3.325,0.459
1456,Cc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)NC3CCC3)c2)c(Cl)c1,5.545,0.486
1457,NC(=O)C1CC1C(=O)Nc1cc(NC(=O)c2c(F)cccc2Br)ccn1,1.487,0.473
1458,O=C(Nc1cc(NC(=O)C2COC2)ncc1F)c1cccc(Cl)c1F,6.319,0.453
1459,Nc1ccc(Cl)c(C(=O)Nc2ccnc(NC(=O)CC3CC3)c2)c1,6.049,0.459
1460,CC1(C)CC1C(=O)Nc1cc(NC(=O)c2cccc(F)c2F)ccn1,9.183,0.462
1461,O=C(Nc1cc(NC(=O)c2cccc(Cl)c2F)ccn1)NC1CCC1,2.648,0.466
1462,Cc1cccc(C)c1C(=O)Nc1ccnc(NC(=O)C2CCOC2)c1,16.714,0.469
1463,O=C1CC(C(=O)Nc2cc(NC(=O)c3cccc(Cl)c3F)c(F)cn2)C1,9.222,0.461
1464,Nc1cc(Cl)c(C(=O)Nc2cc(NC(=O)C3COC3)ncc2F)c(Cl)c1,-1.486,0.468
1465,Cc1c(N)cccc1C(=O)Nc1ccnc(NC(=O)C2CC2(F)F)c1,17.469,0.456
1466,CC(=O)Nc1cc(NC(=O)c2cccc(Cl)c2)ccn1,8.054,0.432
1467,Cc1cc(Cl)c(C(=O)Nc2ccnc(Nc3ccccn3)c2)c(Cl)c1,16.675,0.467
1468,Cc1cccc(Cl)c1C(=O)Nc1ccnc(Nc2ccncc2)c1,-1.135,0.458
1469,O=C(Nc1ccnc(Nc2ccccn2)c1)c1cc(F)ccc1Cl,2.471,0.446
1470,CC(=O)Nc1cc(NC(=O)c2cccc(Cl)c2Cl)ccn1,1.127,0.443
1471,Nc1cccc(Nc2cc(NC(=O)c3cc(Cl)ccc3Cl)ccn2)n1,10.201,0.463
1472,CNC(=O)Nc1cc(NC(=O)c2c(Cl)cc(Cl)cc2Cl)ccn1,0.874,0.454
1473,O=C(Nc1cccnc1)Nc1cc(NC(=O)c2cc(Cl)ccc2Cl)ccn1,-6.257,0.482
1474,O=C(CF)Nc1cc(NC(=O)c2c(Cl)cc(Cl)cc2Cl)ccn1,8.255,0.455
1475,O=C(Nc1ccnc(Nc2cccnn2)c1)c1ccccc1Cl,-3.874,0.447
1476,Nc1cc(Cl)c(C(=O)Nc2ccnc(Nc3cccc(N)n3)c2)c(Cl)c1,8.897,0.471
1477,CC(=O)Nc1cc(NC(=O)c2c(Cl)cc(N)cc2Cl)ccn1,3.254,0.448
1478,O=C(Nc1ccccn1)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)c(F)cn1,-0.204,0.483
1479,CC(=O)Nc1cc(NC(=O)c2ccc(Cl)cc2Cl)ccn1,9.194,0.442
1480,CCC(=O)Nc1cc(NC(=O)c2c(Cl)cc(Cl)cc2Cl)ccn1,7.023,0.453
1481,Nc1cccc(Cl)c1C(=O)Nc1ccnc(Nc2cnccn2)c1,16.614,0.452
1482,O=C(Nc1ccnc(Nc2cnccn2)c1)c1c(F)cccc1Cl,-0.079,0.448
1483,O=C(Nc1ccnc(Nc2ccccn2)c1)c1c(Cl)cccc1Br,2.698,0.46
1484,O=C(Nc1ccnc(Nc2ncccc2F)c1)c1c(F)cccc1Cl,4.484,0.453
1485,Nc1ccc(Cl)c(C(=O)Nc2ccnc(Nc3ccccn3)c2)c1,3.539,0.454
1486,N#CC1CC1C(=O)Nc1cc(NC(=O)c2cc(Cl)ccc2Cl)c(F)cn1,-12.786,0.461
1487,COc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)CC2CC2)c1,9.37,0.475
1488,O=C(Nc1ccnc(NC(=O)C2CCCO2)c1)c1cc(Cl)ccc1F,12.332,0.458
1489,Cc1c(Cl)cccc1C(=O)Nc1cc(NC(=O)C2CC2(F)F)ncc1F,7.507,0.461
1490,O=C(Nc1cc(NC(=O)C2CCOC2)ncc1F)c1cccc(Cl)c1,9.571,0.462
1491,COc1cccc(C(=O)Nc2ccnc(NC(=O)C3CC3C)c2)c1,8.968,0.462
1492,CC1CC1C(=O)Nc1cc(NC(=O)c2c(Cl)cc(N)cc2Cl)c(F)cn1,-1.128,0.467
1493,CC(=O)c1cc(Cl)c(C(=O)Nc2cc(NC(=O)C3CC3Cl)ncc2F)c(Cl)c1,7.44,0.493
1494,CC1CC1C(=O)Nc1cc(NC(=O)c2cccc(Cl)c2F)c(F)cn1,4.602,0.458
1495,N#CC1CC1C(=O)Nc1cc(NC(=O)c2cc(F)ccc2Cl)c(F)cn1,-2.705,0.456
1496,O=C(Nc1ccnc(NC(=O)C2CC(O)C2)c1)c1c(F)cccc1Br,1.385,0.462
1497,CC1CC1C(=O)Nc1cc(NC(=O)c2ccc(Cl)cc2Cl)c(F)cn1,0.191,0.468
1498,O=C1CC(C(=O)Nc2cc(NC(=O)c3c(Cl)cccc3Br)c(F)cn2)C1,3.358,0.464
1499,O=C(Nc1cc(NC(=O)C2CC(O)C2)ncc1F)c1ccc(Cl)cc1F,1.308,0.467
1500,O=C(Nc1cc(NC(=O)C2CCOC2)ncc1F)c1ccc(Cl)cc1Cl,4.026,0.471
1501,CC1(C)CC1C(=O)Nc1cc(NC(=O)c2cccc(Cl)c2F)c(F)cn1,9.044,0.467
1502,O=C(Nc1cc(NC(=O)C2COC2)ncc1F)c1c(Cl)cccc1Br,6.081,0.458
1503,O=C(Nc1cc(NC(=O)C2CCOC2)ncc1F)c1cccc(Cl)c1F,14.77,0.465
1504,CC1(C)CC1C(=O)Nc1cc(NC(=O)c2ccc(Cl)cc2Cl)c(F)cn1,0.994,0.474
1505,O=C(Nc1cc(NC(=O)c2c(Cl)cccc2C(F)(F)F)ccn1)NC1CCC1,6.536,0.483
1506,Cc1cc(Cl)c(C(=O)Nc2cc(NC(=O)C3CC3C(N)=O)ncc2F)c(Cl)c1,5.561,0.493
1507,O=C(Nc1cc(NC(=O)C2CC(O)C2)ncc1F)c1cccc(F)c1Cl,-7.175,0.463
1508,CC(=O)c1cc(Cl)c(C(=O)Nc2cc(NC(=O)C3CC3F)ncc2F)c(Cl)c1,8.556,0.489
1509,C=Cc1cc(Cl)c(C(=O)Nc2cc(NC(=O)C3CC3C(N)=O)ncc2F)c(Cl)c1,10.324,0.499
1510,CN(C)C(=O)c1cc(Cl)c(C(=O)Nc2cc(NC(=O)C3CC3F)ncc2F)c(Cl)c1,3.543,0.516
1511,O=C(Nc1ccnc(NC(=O)C2CC(O)C2)c1)c1cccc(O)c1F,4.946,0.457
1512,O=C(Nc1cc(NC(=O)C2CC(O)C2)ncc1F)c1cc(Cl)ccc1F,2.107,0.465
1513,O=C(Nc1ccnc(NC(=O)C2CCCO2)c1)c1ccc(Cl)cc1F,9.372,0.465
1514,COc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)NC2CC2)c1,4.94,0.471
1515,CC1CC1C(=O)Nc1cc(NC(=O)c2cccc(Cl)c2)c(F)cn1,4.297,0.455
1516,O=C(Nc1ccnc(NC(=O)C2CCCO2)c1)c1cccc(F)c1Cl,1.32,0.463
1517,CC1(C)CC1C(=O)Nc1cc(NC(=O)c2c(Cl)cc(N)cc2Cl)c(F)cn1,1.317,0.481
1518,CC1(C)CC1C(=O)Nc1cc(NC(=O)c2cccc(Cl)c2)c(F)cn1,15.864,0.466
1519,CNC(=O)C1CC1C(=O)Nc1cc(NC(=O)c2cc(F)ccc2Cl)c(F)cn1,-8.861,0.485
1520,Nc1cc(Cl)c(C(=O)Nc2cc(NC(=O)C3CCOC3)ncc2F)c(Cl)c1,0.18,0.482
1521,O=C(Nc1cc(NC(=O)C2CC2Cl)ncc1F)c1cccnc1,-3.992,0.453
1522,Cc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)Nc2ccccn2)c1,3.519,0.483
1523,O=C(Nc1ccnc(Nc2cc(CO)ccn2)c1)c1ccccc1Cl,0.873,0.464
1524,O=C(Nc1cc(NC(=O)C2CC2Cl)ncc1F)c1c(F)cccc1F,1.75,0.451
1525,Cc1cnc(Nc2cc(NC(=O)c3ccccc3Cl)ccn2)cn1,8.762,0.458
1526,O=C(Nc1ccnc(NC(=O)C(F)F)c1)c1c(F)cccc1Cl,-1.63,0.441
1527,Cc1ccnc(Nc2cc(NC(=O)c3c(Cl)cccc3Cl)ccn2)n1,5.556,0.461
1528,Nc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)Oc2ccccc2)c1,9.063,0.476
1529,O=C(Nc1ccnc(NC(=O)C2COC2)c1)c1cc(F)ccc1F,0.939,0.443
1530,Nc1ccc(F)cc1C(=O)Nc1cc(NC(=O)C2CC2)ncc1F,12.691,0.443
1531,Nc1ccc(C(=O)Nc2cc(NC(=O)C3CCCCC3)ncc2F)cc1,9.776,0.477
1532,O=C1CC(C(=O)Nc2cc(NC(=O)c3cc(F)ccc3F)ccn2)C1,-0.192,0.448
1533,CN(C)c1nccc(Nc2cc(NC(=O)c3c(Cl)cccc3Cl)ccn2)n1,-6.94,0.49
1534,Cc1cncc(Nc2cc(NC(=O)c3ccccc3Cl)ccn2)n1,2.878,0.458
1535,O=C(Nc1cc(NC(=O)c2c(F)cccc2Cl)ccn1)Oc1ccccc1,-11.188,0.474
1536,CC(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Br)ccn1,4.116,0.443
1537,CC(C)CC(=O)Nc1cc(NC(=O)c2ccccc2Cl)ccn1,5.689,0.455
1538,Nc1ccc(C(=O)Nc2cc(NC(=O)C3CCC3)ncc2F)cc1,5.234,0.452
1539,O=C(Nc1ccnc(Nc2ccc(CO)cn2)c1)c1c(Cl)cccc1Cl,-2.004,0.476
1540,O=C(Nc1ccnc(Nc2cn[nH]c2)c1)c1c(Cl)cccc1Cl,-7.595,0.447
1541,Nc1cc(F)ccc1C(=O)Nc1cc(NC(=O)C2CC2)ncc1F,17.193,0.444
1542,CCNC(=O)Nc1cc(NC(=O)c2ccccc2Cl)ccn1,-1.419,0.439
1543,CC(=O)Nc1cc(NC(=O)c2c(C)cccc2Cl)ccn1,3.24,0.438
1544,O=C(Nc1cccnc1)Nc1cc(NC(=O)c2c(F)cccc2Cl)ccn1,-9.173,0.475
1545,COc1nccc(Nc2cc(NC(=O)c3c(Cl)cccc3Cl)ccn2)n1,-2.584,0.479
1546,Cc1cc(Nc2cc(NC(=O)c3c(Cl)cccc3Cl)ccn2)ncn1,-5.274,0.461
1547,Cc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)Cc2ccccc2)c1,10.321,0.483
1548,O=C(CF)Nc1cc(NC(=O)c2c(F)cccc2Cl)ccn1,-3.711,0.436
1549,CC(C)NC(=O)Nc1cc(NC(=O)c2ccccc2Cl)ccn1,0.423,0.454
1550,Nc1ccc(C(=O)Nc2cc(NC(=O)C3CCCC3)ncc2F)cc1,9.969,0.464
1551,Nc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)Cc3ccccc3)c2)c(Cl)c1,9.941,0.491
1552,O=C(Nc1ccnc(Nc2ccnc(CO)n2)c1)c1c(Cl)cccc1Cl,-10.758,0.479
1553,N#Cc1ccc(Nc2cc(NC(=O)c3c(Cl)cccc3Cl)ccn2)nc1,-4.577,0.468
1554,Cc1cccc(Cl)c1C(=O)Nc1cc(NC(=O)C2CC2(C)C)ncc1F,5.877,0.473
1555,COc1cccc(Cl)c1C(=O)Nc1cc(NC(=O)C2CC2(F)F)ncc1F,9.236,0.472
1556,Cc1cc(Cl)c(C(=O)Nc2cc(NC(=O)C3CC(O)C3)ncc2F)c(Cl)c1,11.231,0.485
1557,Cc1cccc(Cl)c1C(=O)Nc1cc(NC(=O)C2CC2C)ncc1F,3.189,0.461
1558,O=C(Nc1cc(NC(=O)C2CCOC2)ncc1F)c1c(Cl)cccc1Br,11.167,0.468
1559,CC(=O)NCC1CC1C(=O)Nc1cc(NC(=O)c2c(F)ccc(F)c2Cl)ccn1,2.031,0.5
1560,O=C(Nc1cc(NC(=O)C2CC(O)C2)ncc1F)c1cc(O)ccc1Cl,-8.67,0.465
1561,CC1(C)CC1C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Br)c(F)cn1,9.204,0.472
1562,O=C(Nc1cc(NC(=O)C2CC2CO)ncc1F)c1ccccc1Cl,-2.568,0.465
1563,CC1CC1C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Br)c(F)cn1,5.101,0.465
1564,CC(=O)Nc1cc(Cl)c(C(=O)Nc2cc(NC(=O)C3CC3C)ncc2F)c(Cl)c1,7.765,0.51
1565,O=C(Nc1cc(NC(=O)C2CC2CO)ncc1F)c1c(F)cccc1Cl,1.598,0.464
1566,C=Cc1cc(Cl)c(C(=O)Nc2cc(NC(=O)C3CC(O)C3)ncc2F)c(Cl)c1,9.358,0.494
1567,COc1cccc(Cl)c1C(=O)Nc1cc(NC(=O)C2CC2Cl)ncc1F,-3.883,0.469
1568,COc1cccc(Cl)c1C(=O)Nc1cc(NC(=O)C2CC2F)ncc1F,6.827,0.47
1569,Cc1ccc(C)c(C(=O)Nc2ccnc(NC(=O)C3CC3F)c2)c1,11.601,0.452
1570,Cc1ccccc1C(=O)Nc1ccnc(NC(=O)C2CC(=O)C2)c1,6.591,0.457
1571,COc1cccc(Cl)c1C(=O)Nc1cc(NC(=O)C2CC(O)C2)ncc1F,2.918,0.476
1572,Cc1c(F)cccc1C(=O)Nc1cc(NC(=O)C2CC2)ncc1F,4.294,0.445
1573,O=C(Nc1cc(NC(=O)C2CCCC2)ncc1F)c1c(F)cccc1Br,-2.84,0.468
1574,Nc1ccc(F)c(C(=O)Nc2ccnc(NC(=O)C3CC3F)c2)c1,1.106,0.444
1575,O=C1CC(C(=O)Nc2cc(NC(=O)c3ccc(Cl)cc3)c(F)cn2)C1,10.739,0.457
1576,Cc1cccc(C)c1C(=O)Nc1cc(NC(=O)C2CCCC2)ncc1F,11.815,0.475
1577,O=C(Nc1cc(NC(=O)C2CCC2)ncc1F)c1c(F)cccc1Br,-1.941,0.457
1578,NC(=O)C1CC1C(=O)Nc1cc(NC(=O)c2c(F)ccc(F)c2Cl)c(F)cn1,4.149,0.475
1579,Cc1ccc(C(=O)Nc2ccnc(NC(=O)C3CC3C)c2)cc1,17.668,0.456
1580,Nc1ccc(C(=O)Nc2ccnc(NC(=O)C3CC3F)c2)c(F)c1,-0.481,0.444
1581,O=C(Nc1cc(NC(=O)c2ccc(F)cc2Cl)ccn1)NC1CC1,1.232,0.454
1582,Nc1cc(Cl)ccc1C(=O)Nc1ccnc(NC(=O)NC2CC2)c1,17.682,0.463
1583,O=C(Nc1ccnc(NC(=O)C2CCOC2)c1)c1cc(F)ccc1F,1.893,0.452
1584,O=C(Nc1ccnc(NC(=O)C2CC2CO)c1)c1cccnc1,0.836,0.462
1585,Cc1ccc(C(=O)Nc2ccnc(NC(=O)C3CC3(F)F)c2)c(C)c1,20.615,0.463
1586,Cc1ccccc1C(=O)Nc1ccnc(NC(=O)C2COC2)c1,6.6,0.449
1587,Cc1ccccc1C(=O)Nc1cc(NC(=O)C2CC2)ncc1F,0.287,0.441
1588,Nc1ccc(F)c(C(=O)Nc2ccnc(NC(=O)C3CC3(F)F)c2)c1,7.798,0.447
1589,Nc1ccc(C(=O)Nc2ccnc(NC(=O)NC3CC3)c2)c(Cl)c1,-1.386,0.465
1590,O=C(Nc1cc(NC(=O)c2c(Cl)cccc2Cl)c(F)cn1)NC1CCC1,-1.8,0.471
1591,Nc1ccc(Cl)cc1C(=O)Nc1ccnc(NC(=O)NC2CC2)c1,13.118,0.462
1592,O=C(Nc1cc(NC(=O)C2CC2)ncc1F)c1ccccc1C(F)(F)F,-4.029,0.456
1593,N#CC1CC1C(=O)Nc1cc(NC(=O)c2ccc(F)cc2)ccn1,14.866,0.447
1594,CC1CC1C(=O)Nc1cc(NC(=O)c2cc(F)ccc2F)ccn1,-0.563,0.447
1595,Nc1cccc(C(=O)Nc2ccnc(NC(=O)NC3CC3)c2)c1Cl,4.513,0.458
1596,Nc1ccc(C(=O)Nc2ccnc(NC(=O)C3CC3(F)F)c2)c(F)c1,6.624,0.446
1597,N#CC1CC1C(=O)Nc1cc(NC(=O)c2c(F)cc(F)cc2F)ccn1,6.615,0.453
1598,Cc1cccc(C)c1C(=O)Nc1cc(NC(=O)C2CCC2)ncc1F,11.002,0.463
1599,Cc1cc(Cl)c(C(=O)Nc2ccnc(NCC3CC3)c2)c(Cl)c1,23.622,0.455
1600,O=C(Nc1cc(NC(=O)C2COC2)ncc1F)c1ccc(Cl)cc1,14.601,0.45
1601,CC1(C)CC1C(=O)Nc1cc(NC(=O)c2cc(F)ccc2F)ccn1,5.675,0.458
1602,O=C(Nc1cc(NC(=O)C2CCOC2)ncc1F)c1ccc(Cl)cc1,15.442,0.46
1603,Nc1cc(Cl)ccc1C(=O)Nc1cc(NC(=O)C2CC2Cl)ncc1F,12.121,0.465
1604,O=C(CC1CC1)Nc1cc(NC(=O)c2c(Cl)cc(CF)cc2Cl)ccn1,12.666,0.482
1605,CC1(C)CC1C(=O)Nc1cc(NC(=O)c2ccc(Cl)cc2)c(F)cn1,17.723,0.466
1606,Nc1cc(F)ccc1C(=O)Nc1ccnc(NC(=O)C2CC(O)C2)c1,16.099,0.461
1607,Cc1ccc(Cl)c(C(=O)Nc2ccnc(NC(=O)NC3CC3)c2)c1,4.671,0.46
1608,COc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)CC3CC3)c2)c(Cl)c1,2.55,0.493
1609,O=C(Nc1cc(NC(=O)c2cc(Cl)ccc2Cl)ccn1)NC1CC(O)C1,-0.702,0.48
1610,O=Cc1cc(Cl)c(C(=O)Nc2cc(NC(=O)C3CC(=O)C3)ncc2F)c(Cl)c1,12.658,0.486
1611,Cc1cccc(C)c1C(=O)Nc1ccnc(NC(=O)C2CC2C#N)c1,13.139,0.465
1612,O=C(Nc1cc(NC(=O)C2CC(O)C2)ncc1F)c1c(F)ccc(F)c1Cl,1.899,0.466
1613,COc1ccc(C(=O)Nc2ccnc(NC(=O)C3CC3C)c2)cc1,11.986,0.47
1614,Nc1cccc(C(=O)Nc2cc(NC(=O)C3CC3F)ncc2F)c1Cl,1.51,0.451
1615,O=C(Nc1cc(NC(=O)c2c(Cl)cc(CF)cc2Cl)ccn1)NC1CC1,12.707,0.476
1616,COc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)NC3CC3)c2)c(Cl)c1,-1.563,0.485
1617,O=C(Nc1cc(NC(=O)c2c(Cl)cc(CO)cc2Cl)ccn1)NC1CC1,3.951,0.485
1618,Cc1cccc(N)c1C(=O)Nc1ccnc(NC(=O)C2CC2F)c1,16.705,0.452
1619,CC(=O)Nc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)NC3CCC3)c2)c(Cl)c1,-0.44,0.52
1620,Cc1ccc(C(=O)Nc2ccnc(NC(=O)C3CC3Cl)c2)c(N)c1,22.625,0.459
1621,Cc1cc(F)ccc1C(=O)Nc1ccnc(NC(=O)C2CC2Cl)c1,2.232,0.454
1622,O=C(Nc1ccnc(NC(=O)C2CCCO2)c1)c1c(F)ccc(F)c1Cl,1.796,0.466
1623,Nc1ccc(C(=O)Nc2cc(NC(=O)C3CC3Cl)ncc2F)c(Cl)c1,-10.283,0.461
1624,Nc1ccc(C(=O)Nc2cc(NC(=O)C3CC3(F)F)ncc2F)c(Cl)c1,-11.258,0.455
1625,Cc1cc(N)ccc1C(=O)Nc1ccnc(NC(=O)C2CC2Cl)c1,5.268,0.464
1626,N#CC1CC1C(=O)Nc1cc(NC(=O)c2cccc(F)c2F)ccn1,-2.789,0.453
1627,Nc1cccc(C(=O)Nc2cc(NC(=O)C3CC3(F)F)ncc2F)c1Cl,4.87,0.454
1628,Nc1cccc(C(=O)Nc2cc(NC(=O)C3CC3Cl)ncc2F)c1Cl,-5.214,0.458
1629,O=C(Nc1ccnc(NC(=O)C2CC2(F)F)c1)c1cccc(O)c1F,6.851,0.446
1630,Nc1ccc(F)cc1C(=O)Nc1ccnc(NC(=O)C2CC(O)C2)c1,13.928,0.459
1631,Nc1cc(Cl)ccc1C(=O)Nc1cc(NC(=O)C2CC2F)ncc1F,13.987,0.456
1632,COc1ccccc1C(=O)Nc1ccnc(NC(=O)C2COC2)c1,13.178,0.46
1633,Nc1ccc(Cl)cc1C(=O)Nc1cc(NC(=O)C2CC2F)ncc1F,14.129,0.453
1634,CC1CC1C(=O)Nc1cc(NC(=O)c2cccc(F)c2N)ccn1,14.51,0.448
1635,O=C(Nc1cc(NC(=O)c2cc(O)ccc2Cl)ccn1)NC1CC1,-1.789,0.455
1636,Nc1nc(Nc2cc(NC(=O)c3cc(Cl)ccc3Cl)ccn2)cc(C2CC2)n1,-2.524,0.487
1637,COc1ccccc1C(=O)Nc1cc(NC(=O)C2CC2)ncc1F,10.674,0.452
1638,Nc1ccc(Cl)cc1C(=O)Nc1cc(NC(=O)C2CC2Cl)ncc1F,12.89,0.456
1639,Nc1ccccc1C(=O)Nc1ccnc(NC(=O)C2CC2CO)c1,14.122,0.458
1640,O=C(CC1CC1)Nc1cc(NC(=O)c2c(Cl)cc(CO)cc2Cl)ccn1,8.931,0.485
1641,CC1CC1C(=O)Nc1cc(NC(=O)c2ccc(Cl)cc2)c(F)cn1,13.469,0.458
1642,O=C(Nc1ccnc(NC(=O)C2CC2F)c1)c1cccc(O)c1F,-2.007,0.44
1643,Cc1cccc(C(=O)Nc2ccnc(NC(=O)C3CC3F)c2)c1N,15.964,0.455
1644,Nc1cc(Cl)ccc1C(=O)Nc1cc(NC(=O)C2CC2(F)F)ncc1F,19.333,0.458
1645,O=Cc1cc(Cl)c(C(=O)Nc2cc(NC(=O)C3COC3)ncc2F)c(Cl)c1,9.452,0.48
1646,Nc1ccc(Cl)cc1C(=O)Nc1cc(NC(=O)C2CC2(F)F)ncc1F,15.663,0.452
1647,Cc1cccc(C(=O)Nc2ccnc(NC(=O)C3CC3C)c2)c1N,18.116,0.462
1648,Cc1cccc(F)c1C(=O)Nc1ccnc(NC(=O)C2CC2F)c1,2.461,0.446
1649,CC1(C)CC1C(=O)Nc1cc(NC(=O)c2ccccc2C(F)(F)F)ccn1,6.79,0.475
1650,Cc1cccc(C(=O)Nc2ccnc(NC(=O)C3CC3F)c2)c1F,3.593,0.451
1651,Cc1ccc(F)cc1C(=O)Nc1ccnc(NC(=O)C2CC2Cl)c1,-1.106,0.454
1652,CC(=O)c1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)NC3CCC3)c2)c(Cl)c1,-1.625,0.503
1653,COc1c(Cl)cccc1C(=O)Nc1ccnc(NC(=O)NC2CC2)c1,-2.972,0.473
1654,CC1CC1C(=O)Nc1cc(NC(=O)c2ccccc2C(F)(F)F)ccn1,2.87,0.466
1655,Cc1c(Cl)cccc1C(=O)Nc1ccnc(NC(=O)NC2CC2)c1,8.749,0.466
1656,Cc1c(N)cccc1C(=O)Nc1ccnc(NC(=O)C2CC2F)c1,15.044,0.455
1657,Nc1ccc(C(=O)Nc2cc(NC(=O)C3CC3F)ncc2F)c(Cl)c1,-12.051,0.453
1658,O=C(CC1CC1)Nc1cc(NC(=O)c2cccc(Cl)c2F)ccn1,6.236,0.459
1659,Cc1ccc(N)cc1C(=O)Nc1ccnc(NC(=O)C2CC2Cl)c1,1.928,0.454
1660,O=C(Nc1ccnc(Nc2ncccn2)c1)c1cc(Cl)ccc1Cl,5.908,0.454
1661,Nc1ccc(Cl)c(C(=O)Nc2ccnc(Nc3ccncc3)c2)c1,0.285,0.455
1662,C=Cc1cc(Cl)c(C(=O)Nc2ccnc(N)c2)c(Cl)c1,16.184,0.455
1663,Nc1cc(Cl)c(C(=O)Nc2ccnc(Nc3cnccn3)c2)c(Cl)c1,7.772,0.465
1664,O=C(Nc1ccnc(Nc2ccncc2)c1)c1cc(F)ccc1Cl,-6.279,0.453
1665,Nc1ccc(Cl)cc1C(=O)Nc1ccnc(Nc2ccccc2)c1,15.904,0.456
1666,Cc1cccc(N)c1C(=O)Nc1ccnc(NC(=O)C2CC(O)C2)c1,22.455,0.469
1667,COc1cccc(F)c1C(=O)Nc1ccnc(NC(=O)C2CC2(F)F)c1,4.802,0.459
1668,COc1cccc(F)c1C(=O)Nc1ccnc(NC(=O)C2CC2F)c1,-0.207,0.455
1669,O=C(Nc1cc(NC(=O)c2c(F)cccc2Cl)ccn1)NC1CC(O)C1,-10.031,0.475
1670,Nc1cccc(C(=O)Nc2cc(NC(=O)C3CC(O)C3)ncc2F)c1Cl,0.058,0.471
1671,O=C(Nc1ccnc(Nc2cnn(C3CCOCC3)c2)c1)c1c(Cl)cccc1Cl,-15.946,0.505
1672,COc1c(Cl)cccc1C(=O)Nc1cc(NC(=O)C2CC2F)ncc1F,3.467,0.474
1673,COc1cc(Cl)c(C(=O)Nc2cc(NC(=O)C3CC3F)ncc2F)c(Cl)c1,5.069,0.481
1674,COc1cccc(C(=O)Nc2ccnc(NC(=O)C3CC3(F)F)c2)c1C,14.295,0.477
1675,COc1c(Cl)cccc1C(=O)Nc1cc(NC(=O)C2CC2(F)F)ncc1F,3.963,0.47
1676,CC1CC1C(=O)Nc1cc(NC(=O)c2cccc(Cl)c2N)c(F)cn1,8.284,0.46
1677,N#CC1CC1C(=O)Nc1cc(NC(=O)c2ccc(Cl)cc2Cl)c(F)cn1,1.36,0.465
1678,Nc1nc(Nc2cc(NC(=O)c3c(F)cccc3Cl)ccn2)cc(C2CC2)n1,-12.276,0.487
1679,COc1c(F)cccc1C(=O)Nc1ccnc(NC(=O)C2CC2(F)F)c1,10.599,0.461
1680,Cc1c(N)cccc1C(=O)Nc1ccnc(NC(=O)C2CC(O)C2)c1,15.255,0.468
1681,O=C(Nc1cc(NC(=O)C2CC2(F)F)ncc1F)c1cc(O)ccc1Cl,-5.101,0.455
1682,COc1cc(C)ccc1C(=O)Nc1ccnc(NC(=O)C2CC2Cl)c1,10.822,0.478
1683,O=C(Nc1cc(NC(=O)C2CC2F)ncc1F)c1cc(O)ccc1Cl,-9.521,0.452
1684,NC(=O)C1CC1C(=O)Nc1cc(NC(=O)c2c(Cl)cc(CF)cc2Cl)c(F)cn1,11.29,0.496
1685,CC1(C)CC1C(=O)Nc1cc(NC(=O)c2c(Cl)cc(C=O)cc2Cl)c(F)cn1,14.836,0.493
1686,COc1cccc(C(=O)Nc2ccnc(NC(=O)C3CC3F)c2)c1F,3.233,0.46
1687,COc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)NC2CCC2)c1,3.532,0.477
1688,Cc1c(Cl)cccc1C(=O)Nc1cc(NC(=O)C2CC2Cl)ncc1F,0.515,0.467
1689,Cc1cc(Nc2cc(NC(=O)c3c(Cl)cccc3Cl)ccn2)nc(N2CCC2)n1,-13.408,0.508
1690,O=C(Nc1cc(NC(=O)C2CC2Cl)ncc1F)c1cc(O)ccc1Cl,-9.959,0.461
1691,COc1ccc(F)cc1C(=O)Nc1ccnc(NC(=O)C2CC2Cl)c1,4.68,0.462
1692,COc1ccccc1C(=O)Nc1ccnc(NC(=O)C2CC2C#N)c1,2.433,0.465
1693,COc1c(Cl)cccc1C(=O)Nc1cc(NC(=O)C2CC2Cl)ncc1F,1.488,0.474
1694,Cc1cc(Cl)c(C(=O)Nc2cc(NC(=O)C3CC3C)ncc2F)c(Cl)c1,8.766,0.478
1695,COc1cc(F)ccc1C(=O)Nc1ccnc(NC(=O)C2CC2Cl)c1,7.959,0.466
1696,CC1CC1C(=O)Nc1cc(NC(=O)c2c(Cl)cc(C=O)cc2Cl)c(F)cn1,9.972,0.479
